15M          Fifteen minutes
CPE          Customer premise equipment
CPE          Customer premises equipment
CPG          Call progress (SS7: in ISUP)
CPH          Cost per hour
CPI          Computer private branch exchange interface
CPI          COSMOS-premis interface
CPIE         CP or AM intervention interrupt error
CPM          Circuit pack module
CPM          COSMOS performance monitor
CPM          Cost per minute
CPMP         Carrier performance measurement plan
CPS          Cycles per second
CPU          Call pick up
CPU          Call pickup group
CPU          CCS capacity usage
CPU          Central processing unit
CQM          Circuit group query (SS7: in ISUP)
CQR          CQM response
CRAS         Cable repair administrative system
CR           Carriage return
CRC          Customer record center
CRC          Cyclic redundancy check
CRCOK        CRC ok!  (C/I channel code)
CR           Control Record
CR           Control response
CRE          Create
CRED         Credit card calling (i.256 a)
CREF         Connection refused
CREG         Concentrated range extension with gain
CRF          Continuity recheck failure (outgoing)
CRFMP        Cable repair force management plan
CRG          Creg tag
CRIS         Customer records information system
CR           OCC backup facility INTER/TRA blocal 1-26
CROT         Centralized automatic reporting of trunks  (NTI)
CRR          Reset received (incoming)
CRSAB        Centralized repair service answering bureau
CRS          Centralized results system
CRST         Specific carrier restricted
CRT          Cathode ray tube
CRT          Cathode-ray tube
CRTM         Central office regular call processing timing  (NTI)
CSA          Carrier serving area
CSACC        Customer service administration control center
CSAR         Centralized system for analysis and reporting
CSAR         Centralized system for analysis reporting
CS           Cable switching
CS           Call Store
C            Scan point (SP)
CSC          Cell site controller
CS           Channel service INTER/TRA blocal 1-26
CS           Conducted susceptibility (EMS)
CS           Customer class of service
CSDC         Circuit switched digital capability
CSD          Circuit specific data
CSDN         Circuit-switched data network (t.70)
CSF          Critical short form
CSMA/        Carrier sense multiple access
CSMCC        Complex services maintenance control center
CSNET        Computer science network
CSO          Central services organization
CSO          Cold start only (in eoc)
CSP          Coin sent paid
CSP          Coin set paid
CSPDN        Circuit-switched public data network
CSR          Clock shift register
CSR          Customer service records
CSSC         Customer service system center
CSS          Computer sub-system
CSS          Computer subsystem
CSS          Customer service system
CST          Call state  or  current state   or  change state (QUASI SDL)
CST          Combined services terminal
CSU          Channel service unit
C/S UNIT     Combiner and splitter
CSUS         Centralized automatic message accounting suspension (NTI)
CT01         Manually requested trace line to line information follows - 1AESS
CT02         Manually requested trace line to trunk information follows - 1AESS
CT03         Intraoffice call placed to a number with CLID - 1AESS call trace
CT04         Interoffice call placed to a number with CLID - 1AESS call trace
CT05         Call placed to number on the ci list - 1AESS call trace
CT06         Contents of the CI list - 1AESS call trace
CT07         ACD related trace - 1AESS call trace
CT           Call transfer (i.252 a)
CTC          Centralized test center (DDS)
CTC          Centralized testing center
CTC          Central test center
CTC          Complete a cable transfer or complete a cable throw
CT           Control terminal
CTD          Circuit test data
CTE          Cable throw order establishment
CTF          Display the contacter-transducer file
CTI          Circuit termination identification
CTL          Cable throw with line equipment assignment
CTL          Central operator control
CTM          Cable throw modification
CTMC         Communications terminal module controller
CTM          Contac trunk module
CTMS         Carrier transmission measuring system
CTO          Call transfer outside
CTO          Continuity timeout (incoming)
CTP          Print cable transfer frame work
CTR          Cable throw replacement
CTS          Cable throw summary
CTS          Call through simulator
CTS          Clear to send
CTSS         Cray time sharing system
CT           SSN tie trunk INTER/TRA blocal 1-26
CTT          Cartridge tape transport
CTTC         Cartridge tape transport controller
CTT          Cut through tag
CTTN         Cable trunk ticket number
CTTU         Central trunk testing unit.
CTU          Channel test unit
CTW          Withdraw a cable transfer or a cable throw
CTX          Centrex group number
CTX          Various centrix verifies
CU           Channel  unit
CU           Channel unit
CU           Control unit
CUCRIT       Capital utilization criteria
CU           Customer unit
